iter	Passed	Remaining
0	4	418
1	7	376
2	11	360
3	13	331
4	17	337
5	21	333
6	24	328
7	28	324
8	31	320
9	35	320
10	39	318
11	42	313
12	46	308
13	49	303
14	52	299
15	56	297
16	60	293
17	63	289
18	66	285
19	70	283
20	74	278
21	77	275
22	81	271
23	84	267
24	88	264
25	91	261
26	95	257
27	98	254
28	102	250
29	105	246
30	109	243
31	112	239
32	116	235
33	119	231
34	122	228
35	126	225
36	131	224
37	136	222
38	140	220
39	144	216
40	147	212
41	149	206
42	152	202
43	156	198
44	160	195
45	164	192
46	167	189
47	171	185
48	175	182
49	178	178
50	182	175
51	186	172
52	190	168
53	193	164
54	195	160
55	199	156
56	203	153
57	206	149
58	210	145
59	213	142
60	217	139
61	221	135
62	224	131
63	228	128
64	231	124
65	235	121
66	238	117
67	242	113
68	245	110
69	249	106
70	252	103
71	256	99
72	259	96
73	263	92
74	266	88
75	270	85
76	274	81
77	277	78
78	281	74
79	284	71
80	288	67
81	291	64
82	295	60
83	298	56
84	303	53
85	307	50
86	311	46
87	314	42
88	318	39
89	321	35
90	325	32
91	328	28
92	331	24
93	335	21
94	338	17
95	342	14
96	345	10
97	348	7
98	352	3
99	355	0
