iter	Passed	Remaining
0	199	199145
1	204	101966
2	208	69447
3	214	53306
4	222	44256
5	241	40061
6	261	37028
7	265	32973
8	271	29845
9	282	27965
10	291	26207
11	316	26081
12	327	24851
13	336	23698
14	345	22691
15	358	22060
16	363	21019
17	437	23842
18	443	22880
19	450	22086
20	462	21548
21	470	20929
22	476	20229
23	492	20035
24	506	19754
25	511	19146
26	515	18582
27	522	18149
28	527	17669
29	595	19243
30	604	18883
31	608	18412
32	613	17986
33	622	17678
34	626	17285
35	650	17427
36	657	17116
37	662	16768
38	666	16427
39	671	16109
40	682	15955
41	687	15682
42	701	15605
43	705	15338
44	710	15076
45	716	14856
46	740	15024
47	745	14791
48	750	14573
49	776	14746
50	786	14634
51	801	14611
52	811	14492
53	816	14297
54	832	14299
55	836	14107
56	849	14047
57	853	13866
58	858	13695
59	863	13529
60	886	13641
61	894	13533
62	902	13418
63	907	13271
64	912	13119
65	920	13020
66	927	12914
67	937	12847
68	941	12709
69	946	12571
70	953	12477
71	962	12405
72	972	12347
73	990	12399
74	1008	12440
75	1023	12442
76	1035	12410
77	1039	12292
78	1046	12201
79	1051	12089
80	1063	12070
81	1069	11968
82	1080	11933
83	1088	11864
84	1092	11761
85	1097	11659
86	1106	11613
87	1112	11525
88	1130	11570
89	1134	11474
90	1148	11470
91	1153	11382
92	1164	11360
93	1169	11271
94	1174	11190
95	1204	11340
96	1210	11268
97	1244	11452
98	1251	11388
99	1261	11355
100	1280	11395
101	1286	11322
102	1291	11244
103	1301	11214
104	1306	11135
105	1311	11062
106	1326	11073
107	1332	11007
108	1337	10934
109	1343	10867
110	1350	10816
111	1356	10751
112	1365	10719
113	1372	10665
114	1378	10610
115	1383	10544
116	1389	10485
117	1394	10420
118	1400	10371
119	1408	10326
120	1433	10411
121	1436	10341
122	1448	10330
123	1454	10272
124	1463	10247
125	1471	10204
126	1474	10137
127	1479	10081
128	1486	10034
129	1502	10054
130	1508	10003
131	1512	9946
132	1520	9912
133	1524	9855
134	1529	9800
135	1543	9805
136	1549	9761
137	1555	9717
138	1560	9667
139	1565	9614
140	1570	9567
141	1573	9508
142	1580	9469
143	1585	9427
144	1592	9391
145	1609	9417
146	1614	9370
147	1619	9321
148	1623	9274
149	1631	9244
150	1637	9205
151	1653	9223
152	1657	9178
153	1700	9343
154	1707	9308
155	1713	9270
156	1717	9224
157	1749	9320
158	1753	9276
159	1785	9376
160	1788	9320
161	1794	9281
162	1799	9241
163	1834	9352
164	1849	9358
165	1854	9316
166	1860	9282
167	1866	9242
168	1872	9207
169	1883	9194
170	1897	9196
171	1902	9158
172	1907	9116
173	1919	9110
174	1925	9075
175	1936	9065
176	1940	9024
177	1953	9019
178	1958	8981
179	1963	8944
180	1970	8916
181	1975	8878
182	1980	8842
183	1988	8819
184	2032	8955
185	2037	8917
186	2053	8928
187	2058	8889
188	2068	8875
189	2073	8838
190	2087	8843
191	2094	8814
192	2100	8782
193	2109	8763
194	2114	8729
195	2121	8704
196	2127	8673
197	2134	8646
198	2151	8661
199	2167	8669
200	2171	8633
201	2179	8608
202	2182	8569
203	2186	8531
204	2189	8492
205	2199	8478
206	2203	8443
207	2207	8406
208	2213	8378
209	2218	8345
210	2222	8311
211	2227	8278
212	2232	8247
213	2236	8215
214	2242	8185
215	2251	8173
216	2255	8139
217	2260	8108
218	2265	8079
219	2272	8058
220	2278	8032
221	2285	8008
222	2289	7978
223	2294	7947
224	2301	7929
225	2317	7937
226	2325	7919
227	2331	7893
228	2334	7861
229	2338	7828
230	2343	7800
231	2347	7772
232	2351	7740
233	2359	7723
234	2363	7692
235	2366	7661
236	2390	7694
237	2395	7669
238	2401	7646
239	2405	7615
240	2409	7588
241	2415	7566
242	2419	7538
243	2424	7511
244	2437	7512
245	2444	7492
246	2448	7464
247	2453	7440
248	2457	7411
249	2460	7382
250	2464	7353
251	2471	7335
252	2476	7311
253	2480	7285
254	2486	7263
255	2491	7240
256	2494	7212
257	2499	7188
258	2504	7166
259	2509	7142
260	2514	7119
261	2520	7099
262	2525	7076
263	2530	7053
264	2534	7030
265	2540	7009
266	2544	6984
267	2547	6958
268	2551	6933
269	2556	6911
270	2561	6890
271	2566	6869
272	2570	6845
273	2576	6827
274	2581	6805
275	2584	6780
276	2588	6756
277	2596	6744
278	2604	6730
279	2612	6718
280	2617	6697
281	2621	6675
282	2647	6706
283	2652	6687
284	2656	6665
285	2661	6643
286	2669	6630
287	2672	6607
288	2677	6586
289	2681	6564
290	2689	6552
291	2694	6533
292	2699	6514
293	2706	6498
294	2749	6572
295	2754	6552
296	2760	6533
297	2767	6518
298	2771	6498
299	2789	6508
300	2854	6628
301	2868	6628
302	2872	6608
303	2881	6596
304	2885	6575
305	2891	6557
306	2937	6630
307	2942	6610
308	2946	6589
309	2953	6573
310	2957	6552
311	2963	6535
312	3016	6621
313	3022	6602
314	3032	6593
315	3042	6585
316	3047	6565
317	3053	6547
318	3116	6652
319	3146	6686
320	3151	6667
321	3157	6647
322	3161	6626
323	3169	6613
324	3173	6591
325	3176	6568
326	3180	6545
327	3188	6532
328	3192	6511
329	3196	6489
330	3201	6471
331	3207	6453
332	3212	6434
333	3224	6429
334	3229	6411
335	3234	6392
336	3243	6381
337	3249	6364
338	3255	6348
339	3260	6329
340	3268	6315
341	3274	6300
342	3278	6280
343	3283	6261
344	3287	6240
345	3296	6230
346	3300	6210
347	3304	6191
348	3311	6176
349	3318	6163
350	3323	6144
351	3350	6168
352	3354	6148
353	3358	6127
354	3361	6107
355	3368	6093
356	3372	6074
357	3376	6054
358	3380	6035
359	3386	6020
360	3391	6003
361	3396	5986
362	3404	5973
363	3410	5959
364	3414	5941
365	3418	5922
366	3426	5910
367	3430	5891
368	3434	5873
369	3440	5857
370	3444	5840
371	3448	5821
372	3451	5802
373	3457	5787
374	3462	5770
375	3465	5751
376	3470	5734
377	3475	5718
378	3481	5704
379	3486	5687
380	3490	5671
381	3498	5659
382	3502	5642
383	3506	5625
384	3512	5610
385	3517	5594
386	3520	5577
387	3524	5559
388	3529	5544
389	3533	5527
390	3537	5509
391	3541	5493
392	3549	5482
393	3553	5465
394	3585	5491
395	3589	5475
396	3594	5459
